Index,County,Local_Authority,Roll_Nr,Name,Ethos,Island,Irish,DEIS,Total_Boys,Total_Girls,Total_Pupils,Class_size_0_9,Class_size_10_19,Class_size_20_24,Class_size_25_29,Class_size_30_34,Class_size_35_39,Class_size_40_45,Type
1,Carlow,Carlow County Council,00651R,Borris Mxd N S,Catholic,N,No Irish,N,104,103,207,,,,78,129,,,MS
2,Carlow,Carlow County Council,00977B,Ballyconnell N S,Catholic,N,No Irish,N,79,82,161,,17,21,,123,,,MS
3,Carlow,Carlow County Council,01116A,Baile An Chuilinn N S,Catholic,N,No Irish,N,53,54,107,,,23,84,,,,MS
4,Carlow,Carlow County Council,01215C,Newtown Dunleckney Mxd,Catholic,N,No Irish,N,71,60,131,,,47,53,31,,,MS
5,Carlow,Carlow County Council,01415K,Rathoe Ns,Catholic,N,No Irish,N,98,89,187,,19,23,82,63,,,MS
6,Carlow,Carlow County Council,02124E,Scoil Nais Molaise,Catholic,N,No Irish,N,74,57,131,,,20,111,,,,MS
7,Carlow,Carlow County Council,04077I,Scoil Nais Bhride,Catholic,N,No Irish,N,90,83,173,,,68,27,67,,,MS
8,Carlow,Carlow County Council,09320Q,Scoil Nais Mhuire,Catholic,N,No Irish,N,51,45,96,,,42,54,,,,MS
9,Carlow,Carlow County Council,11135K,St Marys N S,Church Of Ireland,N,No Irish,N,42,42,84,,,,53,31,,,MS
10,Carlow,Carlow County Council,13105L,St Bridgets Monastery,Catholic,N,No Irish,N,111,1,112,,53,20,,31,,,MS
11,Carlow,Carlow County Council,13507I,S N Muire Lourdes,Catholic,N,No Irish,N,0,215,215,,,48,106,61,,,MS
12,Carlow,Carlow County Council,13607M,St Columbas N S,Church Of Ireland,N,No Irish,N,34,34,68,,18,23,27,,,,MS
13,Carlow,Carlow County Council,14837L,S N Peadar Agus Pol,Catholic,N,No Irish,N,146,135,281,,,42,109,125,,,MS
14,Carlow,Carlow County Council,16080N,S N Phadraig Naofa,Catholic,N,No Irish,N,213,0,213,,,71,79,63,,,MS
15,Carlow,Carlow County Council,16938E,Fr Cullen Memorial N S,Catholic,N,No Irish,N,77,92,169,,,22,84,63,,,MS
